CaseID,PortName,State,PortCode,Border,Date,Measure,Total Number of Entries,Longitude,Latitude
366,Laurier,Washington,3016,US-Canada Border,4/1/2018,Trains,13,-118.22302,48.99892
367,Calais,Maine,115,US-Canada Border,3/1/2018,Trains,13,-67.27917,45.18889
368,Opheim,Montana,3317,US-Canada Border,3/1/2018,Trucks,13,-106.40265,48.85574
369,Laurier,Washington,3016,US-Canada Border,3/1/2018,Trains,13,-118.22302,48.99892
370,Turner,Montana,3306,US-Canada Border,3/1/2018,Trucks,13,-108.40599,48.84361
371,Hansboro,North Dakota,3415,US-Canada Border,2/1/2018,Trucks,13,-99.3825,48.95
372,Ferry,Washington,3013,US-Canada Border,2/1/2018,Trucks,13,-118.58774,48.88627
373,San Luis,Arizona,2608,US-Mexico Border,2/1/2018,Buses,13,-114.78139,32.48694
374,Opheim,Montana,3317,US-Canada Border,1/1/2018,Trucks,13,-106.40265,48.85574
375,Houlton,Maine,106,US-Canada Border,12/1/2018,Buses,14,-67.84083,46.12611
376,Sumas,Washington,3009,US-Canada Border,12/1/2018,Trains,14,-122.26361,49.00028
377,Oroville,Washington,3019,US-Canada Border,11/1/2018,Buses,14,-119.43444,48.93917
378,Oroville,Washington,3019,US-Canada Border,10/1/2018,Buses,14,-119.43444,48.93917
379,Portal,North Dakota,3403,US-Canada Border,10/1/2018,Buses,14,-102.54917,48.99583
380,San Luis,Arizona,2608,US-Mexico Border,10/1/2018,Buses,14,-114.78139,32.48694
381,Sweetgrass,Montana,3310,US-Canada Border,9/1/2018,Buses,14,-111.95972,48.99611
382,Northgate,North Dakota,3406,US-Canada Border,9/1/2018,Trains,14,-102.39634,48.89848
383,Otay Mesa,California,2506,US-Mexico Border,9/1/2018,Trains,14,-117.05333,32.57333
384,Oroville,Washington,3019,US-Canada Border,9/1/2018,Buses,14,-119.43444,48.93917
385,Jackman,Maine,104,US-Canada Border,7/1/2018,Trains,14,-70.255,45.62389
386,Sumas,Washington,3009,US-Canada Border,6/1/2018,Buses,14,-122.26361,49.00028
