CaseID,PortName,State,PortCode,Border,Date,Measure,Total Number of Entries,Longitude,Latitude
41,Turner,Montana,3306,US-Canada Border,8/1/2018,Buses,1,-108.40599,48.84361
42,Ambrose,North Dakota,3410,US-Canada Border,8/1/2018,Trucks,1,-103.48222,48.95389
43,Lancaster,Minnesota,3430,US-Canada Border,7/1/2018,Buses,1,-96.82024,48.84911
44,Sherwood,North Dakota,3414,US-Canada Border,7/1/2018,Buses,1,-101.55954,48.99719
45,Norton,Vermont,211,US-Canada Border,7/1/2018,Buses,1,-71.79528,45.01
46,Bridgewater,Maine,127,US-Canada Border,7/1/2018,Buses,1,-67.84262,46.41923
47,Neche,North Dakota,3404,US-Canada Border,7/1/2018,Buses,1,-97.55444,48.98611
48,Laurier,Washington,3016,US-Canada Border,7/1/2018,Buses,1,-118.22302,48.99892
49,Roseau,Minnesota,3426,US-Canada Border,6/1/2018,Buses,1,-95.81074,48.77518
50,Walhalla,North Dakota,3407,US-Canada Border,6/1/2018,Buses,1,-97.91778,48.92333
51,Friday Harbor,Washington,3014,US-Canada Border,6/1/2018,Buses,1,-123.01415,48.53231
52,Norton,Vermont,211,US-Canada Border,6/1/2018,Buses,1,-71.79528,45.01
53,St. John,North Dakota,3405,US-Canada Border,6/1/2018,Buses,1,-99.71915,48.94208
54,Laurier,Washington,3016,US-Canada Border,6/1/2018,Buses,1,-118.22302,48.99892
55,Turner,Montana,3306,US-Canada Border,6/1/2018,Buses,1,-108.40599,48.84361
56,Eastport,Idaho,3302,US-Canada Border,6/1/2018,Buses,1,-116.18028,48.99944
57,Northgate,North Dakota,3406,US-Canada Border,6/1/2018,Buses,1,-102.39634,48.89848
58,Morgan,Montana,3319,US-Canada Border,5/1/2018,Buses,1,-107.85719,48.78541
59,Boundary,Washington,3015,US-Canada Border,5/1/2018,Buses,1,-117.89655,48.54648
60,Fortuna,North Dakota,3417,US-Canada Border,5/1/2018,Buses,1,-103.77906,48.91086
61,Ketchikan,Alaska,3102,US-Canada Border,5/1/2018,Trucks,1,-131.64031,55.33897
62,Whitlash,Montana,3321,US-Canada Border,5/1/2018,Trucks,1,-111.249,48.90372
